Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
023133-2020,2023,41/20 - ROBBERY - IN PROGRESS,ROBBERY OF INDIVIDUAL (AGG),"Highway, Street, Alley ETC",Outdoor Area Public/Private,4406,SOUTHEAST,350,2020,February,Victim,Individual,Male,Suspended,SUSPS PULLED GUN ON COMP AND TOOK HIS VEHICLE WITHOUT CONSENT.,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75253,DALLAS,TX
229463-2021,2023,11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Outdoor Area Public/Private,1132,NORTHEAST,220,2021,December,Victim,Individual,Male,Suspended,UNK SUSP ENTERED COMPS UNLOCKED VEH AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
198280-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Residence,Apartment Complex/Building,2169,SOUTHEAST,340,2020,November,Victim,Individual,Male,Suspended,SUSP TOOK COMP'S VEH W/O CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75215,DALLAS,TX
167502-2018,2023,11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3067,NORTHWEST,520,2018,July,Victim,Individual,Male,Suspended,"UNK SUSP ENTERED COMP'S VEHICLE, TOOK PROP W/O CONSENT",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
019097-2018,2023,09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 BUT<$30K (NOT EMP",Apartment Parking Lot,Apartment Complex/Building,4552,NORTHWEST,530,2018,January,Victim,Individual,Male,Suspended,SUSPECT TOOK F250 TAILGATE FROM COMPS VEHICLE.,Other,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
227932-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4321,SOUTH CENTRAL,750,2021,December,Victim,Individual,Female,Suspended,"UNKNOWN SUSPECT ENTERED UNLOCKED VEH,REMOVED PROPERTY W/O CONSENT",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
140069-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),Parking Lot,1217,SOUTHEAST,310,2022,August,Victim,Individual,Female,Suspended,UNKNOWN SUSPEC TOOK COMP VEHICLE,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
184770-2021,2023,PSE/11V - BURG MOTOR VEH,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,4263,SOUTHWEST,450,2021,October,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED LICENSE PLATES FROM VEH W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75224,DALLAS,TX
246967-2018,2023,11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,4529,NORTHEAST,210,2018,November,Victim,Individual,Male,Suspended,UNK SUSP BROKE INTO 18 VEHICLES AND TOOK ITEMS WITHOUT CONSENT.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
014195-2019,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,Other,4198,SOUTH CENTRAL,710,2019,January,Victim,Individual,Female,Suspended,DAMAGED AND ENTERED COMP PROPERTY AND TOOK IPAD W/O CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
